date,description,amount
2026-04-01,SALARY APR 2026 CONG TY ABC,28000000
2026-04-02,HIGHLANDS COFFEE BUI VIEN,-65000
2026-04-03,GRAB CITY DI LAM,-48000
2026-04-04,SHOPEE ORDER 240416ABCD,-450000
2026-04-05,EVN HCMC TIEN DIEN T3,-820000
2026-04-06,WINMART NGUYEN TRAI,-312000
2026-04-08,KFC VINCOM,-189000
2026-04-09,GALAXY CINEMA NGUYEN DU,-220000
2026-04-11,PHARMACITY THUOC CAM,-95000
2026-04-12,NETFLIX PREMIUM,-260000
2026-04-13,BE TOI SAN BAY,-210000
2026-04-15,LAZADA AO KHOAC,-520000
2026-04-16,PHO LY QUOC SU,-70000
2026-04-18,INTERNET FPT THANG 4,-250000
2026-04-20,CHUYEN KHOAN TIET KIEM,-3000000
2026-04-22,TRA SUA PHUC LONG,-68000
2026-04-24,XANG PETROLIMEX,-120000
2026-04-26,LONG CHAU VITAMIN,-185000
2026-04-28,FREELANCE PAYOUT UPWORK,4500000
2026-04-30,BIGC SIEU THI,-640000
2026-05-01,SALARY MAY 2026 CONG TY ABC,28000000
2026-05-02,HIGHLANDS COFFEE THAO DIEN,-72000
2026-05-03,GRAB FOOD TRUA,-95000
2026-05-04,SHOPEE ORDER 250504XYZW,-380000
2026-05-05,EVN HCMC TIEN DIEN T4,-910000
2026-05-06,CO.OPMART DI CHO,-455000
2026-05-08,PIZZA HUT,-245000
2026-05-09,LOTTE CINEMA,-180000
2026-05-11,GUARDIAN MY PHAM,-260000
2026-05-12,SPOTIFY FAMILY,-59000
2026-05-14,VNPAY NAP DIEN THOAI,-100000
2026-05-15,TIKI SACH,-320000
2026-05-16,BUN BO HUE,-60000
2026-05-18,VNPT INTERNET T5,-220000
2026-05-20,CHUYEN KHOAN ME,-2000000
2026-05-22,UDEMY KHOA HOC PYTHON,-499000
2026-05-24,XANG SHELL,-150000
2026-05-26,MEDLATEC XET NGHIEM,-800000
2026-05-28,SHOPEE SELLER PAYOUT,1850000
2026-05-30,MM MEGA MARKET,-720000
2026-06-01,SALARY JUNE 2026 CONG TY ABC,28000000
2026-06-02,HIGHLANDS COFFEE BUI VIEN,-65000
2026-06-03,GRAB CITY DI LAM,-48000
2026-06-04,SHOPEE ORDER 260604ABCD,-450000
2026-06-05,EVN HCMC TIEN DIEN T5,-850000
2026-06-07,KFC NGUYEN HUE,-175000
2026-06-09,CGV CINEMA,-240000
2026-06-10,PHARMACITY,-120000
2026-06-11,NETFLIX PREMIUM,-260000
2026-06-12,BE DI HOP,-90000
2026-06-14,LAZADA GIAY,-680000
2026-06-15,COM TAM SUON,-55000
2026-06-17,INTERNET FPT THANG 6,-250000
2026-06-19,CHUYEN KHOAN TIET KIEM,-3000000
2026-06-21,TRA SUA GONG CHA,-72000
2026-06-23,XANG PETROLIMEX,-130000
2026-06-25,LONG CHAU,-210000
2026-06-27,GAS PETROLIMEX BINH 12KG,-480000
2026-06-29,WINMART CUOI THANG,-590000
